SEQUENCE,CLASSIFICATION
SRR20766474.8892.1,Non-viral
SRR20766474.8896.1,Non-viral
SRR20766474.8898.1,Non-viral
SRR20766474.8899.1,Non-viral
SRR20766474.8904.1,Non-viral
SRR20766474.8906.1,Non-viral
SRR20766474.8909.1,Non-viral
SRR20766474.8912.1,Non-viral
SRR20766474.8917.1,Non-viral
SRR20766474.8919.1,Non-viral
SRR20766474.8920.1,Non-viral
SRR20766474.8921.1,Non-viral
SRR20766474.8923.1,Non-viral
SRR20766474.8925.1,Non-viral
SRR20766474.8926.1,Non-viral
SRR20766474.8930.1,Non-viral
SRR20766474.8935.1,Non-viral
SRR20766474.8936.1,Non-viral
SRR20766474.8937.1,Non-viral
SRR20766474.8939.1,Non-viral
SRR20766474.8941.1,Non-viral
SRR20766474.8945.1,Non-viral
SRR20766474.8946.1,Non-viral
SRR20766474.8947.1,Non-viral
SRR20766474.8948.1,Non-viral
SRR20766474.8950.1,Non-viral
SRR20766474.8953.1,Non-viral
SRR20766474.8956.1,Non-viral
SRR20766474.8958.1,Non-viral
SRR20766474.8959.1,Non-viral
SRR20766474.8961.1,Non-viral
SRR20766474.8964.1,Non-viral
SRR20766474.8967.1,Non-viral
SRR20766474.8968.1,Non-viral
SRR20766474.8969.1,Non-viral
SRR20766474.8970.1,Non-viral
SRR20766474.8973.1,Non-viral
SRR20766474.8974.1,Non-viral
SRR20766474.8980.1,Non-viral
SRR20766474.8982.1,Non-viral
SRR20766474.8983.1,Non-viral
SRR20766474.8989.1,Non-viral
SRR20766474.8990.1,Non-viral
SRR20766474.8991.1,Non-viral
SRR20766474.8993.1,Non-viral
SRR20766474.8994.1,Non-viral
SRR20766474.8995.1,Non-viral
SRR20766474.8996.1,Non-viral
SRR20766474.8998.1,Non-viral
SRR20766474.9000.1,Non-viral
SRR20766474.9001.1,Non-viral
SRR20766474.9002.1,Non-viral
SRR20766474.9003.1,Non-viral
SRR20766474.9004.1,Non-viral
SRR20766474.9005.1,Non-viral
SRR20766474.9006.1,Non-viral
SRR20766474.9008.1,Non-viral
SRR20766474.9013.1,Non-viral
SRR20766474.9015.1,Non-viral
SRR20766474.9019.1,Non-viral
SRR20766474.9020.1,Non-viral
SRR20766474.9024.1,Non-viral
SRR20766474.9026.1,Non-viral
SRR20766474.9031.1,Non-viral
SRR20766474.9032.1,Non-viral
SRR20766474.9043.1,Non-viral
SRR20766474.9044.1,Non-viral
SRR20766474.9045.1,Non-viral
SRR20766474.9046.1,Non-viral
SRR20766474.9047.1,Non-viral
SRR20766474.9050.1,Non-viral
SRR20766474.9051.1,Non-viral
SRR20766474.9054.1,Non-viral
SRR20766474.9055.1,Non-viral
SRR20766474.9059.1,Non-viral
SRR20766474.9062.1,Non-viral
SRR20766474.9065.1,Non-viral
SRR20766474.9072.1,Non-viral
SRR20766474.9073.1,Non-viral
SRR20766474.9074.1,Non-viral
SRR20766474.9081.1,Non-viral
SRR20766474.9082.1,Non-viral
SRR20766474.9084.1,Non-viral
SRR20766474.9088.1,Non-viral
SRR20766474.9089.1,Non-viral
SRR20766474.9092.1,Non-viral
SRR20766474.9100.1,Non-viral
SRR20766474.9106.1,Non-viral
SRR20766474.9109.1,Non-viral
SRR20766474.9112.1,Non-viral
SRR20766474.9113.1,Non-viral
SRR20766474.9115.1,Non-viral
SRR20766474.9116.1,Non-viral
SRR20766474.9119.1,Non-viral
SRR20766474.9124.1,Non-viral
SRR20766474.9132.1,Non-viral
SRR20766474.9133.1,Non-viral
SRR20766474.9134.1,Non-viral
SRR20766474.9137.1,Non-viral
SRR20766474.9146.1,Non-viral
SRR20766474.9147.1,Non-viral
SRR20766474.9148.1,Non-viral
SRR20766474.9155.1,Non-viral
SRR20766474.9157.1,Non-viral
SRR20766474.9158.1,Non-viral
SRR20766474.9159.1,Non-viral
SRR20766474.9161.1,Non-viral
SRR20766474.9163.1,Non-viral
SRR20766474.9168.1,Non-viral
SRR20766474.9172.1,Non-viral
SRR20766474.9174.1,Non-viral
SRR20766474.9176.1,Non-viral
SRR20766474.9177.1,Non-viral
SRR20766474.9181.1,Non-viral
SRR20766474.9182.1,Non-viral
SRR20766474.9184.1,Non-viral
SRR20766474.9185.1,Non-viral
SRR20766474.9190.1,Non-viral
SRR20766474.9193.1,Non-viral
SRR20766474.9195.1,Non-viral
SRR20766474.9196.1,Non-viral
SRR20766474.9197.1,Non-viral
SRR20766474.9199.1,Non-viral
SRR20766474.9208.1,Non-viral
SRR20766474.9212.1,Non-viral
SRR20766474.9214.1,Non-viral
SRR20766474.9220.1,Non-viral
SRR20766474.9221.1,Non-viral
SRR20766474.9228.1,Non-viral
SRR20766474.9229.1,Non-viral
SRR20766474.9230.1,Non-viral
SRR20766474.9233.1,Non-viral
SRR20766474.9237.1,Non-viral
SRR20766474.9242.1,Non-viral
SRR20766474.9246.1,Non-viral
SRR20766474.9248.1,Non-viral
SRR20766474.9252.1,Non-viral
SRR20766474.9253.1,Non-viral
SRR20766474.9257.1,Non-viral
SRR20766474.9260.1,Non-viral
SRR20766474.9262.1,Non-viral
SRR20766474.9263.1,Non-viral
SRR20766474.9267.1,Non-viral
SRR20766474.9269.1,Non-viral
SRR20766474.9270.1,Non-viral
SRR20766474.9271.1,Non-viral
SRR20766474.9272.1,Non-viral
SRR20766474.9274.1,Non-viral
SRR20766474.9281.1,Non-viral
SRR20766474.9284.1,Non-viral
SRR20766474.9290.1,Non-viral
SRR20766474.9292.1,Non-viral
SRR20766474.9299.1,Non-viral
SRR20766474.9300.1,Non-viral
SRR20766474.9306.1,Non-viral
SRR20766474.9307.1,Non-viral
SRR20766474.9309.1,Non-viral
SRR20766474.9310.1,Non-viral
SRR20766474.9312.1,Non-viral
SRR20766474.9313.1,Non-viral
SRR20766474.9314.1,Non-viral
SRR20766474.9315.1,Non-viral
SRR20766474.9316.1,Non-viral
SRR20766474.9317.1,Non-viral
SRR20766474.9319.1,Non-viral
SRR20766474.9323.1,Non-viral
SRR20766474.9324.1,Non-viral
SRR20766474.9325.1,Non-viral
SRR20766474.9326.1,Non-viral
SRR20766474.9329.1,Non-viral
SRR20766474.9330.1,Non-viral
SRR20766474.9332.1,Non-viral
SRR20766474.9340.1,Non-viral
SRR20766474.9343.1,Non-viral
SRR20766474.9344.1,Non-viral
SRR20766474.9346.1,Non-viral
SRR20766474.9347.1,Non-viral
SRR20766474.9352.1,Non-viral
SRR20766474.9354.1,Non-viral
SRR20766474.9358.1,Non-viral
SRR20766474.9361.1,Non-viral
SRR20766474.9362.1,Non-viral
SRR20766474.9364.1,Non-viral
SRR20766474.9365.1,Non-viral
SRR20766474.9367.1,Non-viral
SRR20766474.9368.1,Non-viral
SRR20766474.9371.1,Non-viral
SRR20766474.9374.1,Non-viral
SRR20766474.9378.1,Non-viral
SRR20766474.9379.1,Non-viral
SRR20766474.9380.1,Non-viral
SRR20766474.9383.1,Non-viral
SRR20766474.9385.1,Non-viral
SRR20766474.9388.1,Non-viral
SRR20766474.9390.1,Non-viral
SRR20766474.9392.1,Non-viral
SRR20766474.9393.1,Non-viral
SRR20766474.9394.1,Non-viral
SRR20766474.9396.1,Non-viral
SRR20766474.9397.1,Non-viral
SRR20766474.9398.1,Non-viral
SRR20766474.9400.1,Non-viral
SRR20766474.9402.1,Non-viral
SRR20766474.9407.1,Non-viral
SRR20766474.9408.1,Non-viral
SRR20766474.9409.1,Non-viral
SRR20766474.9415.1,Non-viral
SRR20766474.9419.1,Non-viral
SRR20766474.9421.1,Non-viral
SRR20766474.9423.1,Non-viral
SRR20766474.9425.1,Non-viral
SRR20766474.9430.1,Non-viral
SRR20766474.9432.1,Non-viral
SRR20766474.9433.1,Non-viral
SRR20766474.9436.1,Non-viral
SRR20766474.9438.1,Non-viral
SRR20766474.9440.1,Non-viral
SRR20766474.9443.1,Non-viral
SRR20766474.9448.1,Non-viral
SRR20766474.9450.1,Non-viral
SRR20766474.9451.1,Non-viral
SRR20766474.9453.1,Non-viral
SRR20766474.9456.1,Non-viral
SRR20766474.9457.1,Non-viral
SRR20766474.9464.1,Non-viral
SRR20766474.9465.1,Non-viral
SRR20766474.9467.1,Non-viral
SRR20766474.9468.1,Non-viral
SRR20766474.9469.1,Non-viral
SRR20766474.9474.1,Non-viral
SRR20766474.9476.1,Non-viral
SRR20766474.9487.1,Non-viral
SRR20766474.9495.1,Non-viral
SRR20766474.9499.1,Non-viral
SRR20766474.9500.1,Non-viral
SRR20766474.9502.1,Non-viral
SRR20766474.9504.1,Non-viral
SRR20766474.9508.1,Non-viral
SRR20766474.9509.1,Non-viral
SRR20766474.9517.1,Non-viral
SRR20766474.9518.1,Non-viral
SRR20766474.9519.1,Non-viral
SRR20766474.9520.1,Non-viral
SRR20766474.9523.1,Non-viral
SRR20766474.9527.1,Non-viral
SRR20766474.9530.1,Non-viral
SRR20766474.9531.1,Non-viral
SRR20766474.9533.1,Non-viral
SRR20766474.9535.1,Non-viral
SRR20766474.9537.1,Non-viral
SRR20766474.9547.1,Non-viral
SRR20766474.9552.1,Non-viral
SRR20766474.9553.1,Non-viral
SRR20766474.9554.1,Non-viral
SRR20766474.9557.1,Non-viral
SRR20766474.9559.1,Non-viral
SRR20766474.9560.1,Non-viral
SRR20766474.9561.1,Non-viral
SRR20766474.9562.1,Non-viral
SRR20766474.9565.1,Non-viral
SRR20766474.9572.1,Non-viral
SRR20766474.9575.1,Non-viral
SRR20766474.9577.1,Non-viral
SRR20766474.9578.1,Non-viral
SRR20766474.9579.1,Non-viral
SRR20766474.9580.1,Non-viral
SRR20766474.9581.1,Non-viral
SRR20766474.9584.1,Non-viral
SRR20766474.9585.1,Non-viral
SRR20766474.9586.1,Non-viral
SRR20766474.9589.1,Non-viral
SRR20766474.9590.1,Non-viral
SRR20766474.9593.1,Non-viral
SRR20766474.9596.1,Non-viral
SRR20766474.9601.1,Non-viral
SRR20766474.9604.1,Non-viral
SRR20766474.9605.1,Non-viral
SRR20766474.9606.1,Non-viral
SRR20766474.9608.1,Non-viral
SRR20766474.9610.1,Non-viral
SRR20766474.9617.1,Non-viral
SRR20766474.9626.1,Non-viral
SRR20766474.9631.1,Non-viral
SRR20766474.9632.1,Non-viral
SRR20766474.9634.1,Non-viral
SRR20766474.9640.1,Non-viral
SRR20766474.9641.1,Non-viral
SRR20766474.9650.1,Non-viral
SRR20766474.9651.1,Non-viral
SRR20766474.9654.1,Non-viral
SRR20766474.9658.1,Non-viral
SRR20766474.9662.1,Non-viral
SRR20766474.9663.1,Non-viral
SRR20766474.9671.1,Non-viral
SRR20766474.9675.1,Non-viral
SRR20766474.9680.1,Non-viral
SRR20766474.9683.1,Non-viral
SRR20766474.9684.1,Non-viral
SRR20766474.9689.1,Non-viral
SRR20766474.9694.1,Non-viral
SRR20766474.9695.1,Non-viral
SRR20766474.9699.1,Non-viral
SRR20766474.9700.1,Non-viral
SRR20766474.9703.1,Non-viral
SRR20766474.9707.1,Non-viral
SRR20766474.9709.1,Non-viral
SRR20766474.9711.1,Non-viral
SRR20766474.9712.1,Non-viral
SRR20766474.9717.1,Non-viral
SRR20766474.9719.1,Non-viral
SRR20766474.9722.1,Non-viral
SRR20766474.9725.1,Non-viral
SRR20766474.9726.1,Non-viral
SRR20766474.9728.1,Non-viral
SRR20766474.9731.1,Non-viral
SRR20766474.9732.1,Non-viral
SRR20766474.9733.1,Non-viral
SRR20766474.9734.1,Non-viral
SRR20766474.9735.1,Non-viral
SRR20766474.9746.1,Non-viral
SRR20766474.9747.1,Non-viral
SRR20766474.9751.1,Non-viral
SRR20766474.9754.1,Non-viral
SRR20766474.9760.1,Non-viral
SRR20766474.9766.1,Non-viral
SRR20766474.9770.1,Non-viral
SRR20766474.9771.1,Non-viral
SRR20766474.9772.1,Non-viral
SRR20766474.9773.1,Non-viral
SRR20766474.9776.1,Non-viral
SRR20766474.9781.1,Non-viral
SRR20766474.9783.1,Non-viral
SRR20766474.9785.1,Non-viral
SRR20766474.9786.1,Non-viral
SRR20766474.9787.1,Non-viral
SRR20766474.9788.1,Non-viral
SRR20766474.9789.1,Non-viral
SRR20766474.9792.1,Non-viral
SRR20766474.9793.1,Non-viral
SRR20766474.9795.1,Non-viral
SRR20766474.9796.1,Non-viral
SRR20766474.9797.1,Non-viral
SRR20766474.9798.1,Non-viral
SRR20766474.9801.1,Non-viral
SRR20766474.9803.1,Non-viral
SRR20766474.9806.1,Non-viral
SRR20766474.9809.1,Non-viral
SRR20766474.9811.1,Non-viral
SRR20766474.9812.1,Non-viral
SRR20766474.9816.1,Non-viral
SRR20766474.9817.1,Non-viral
SRR20766474.9821.1,Non-viral
SRR20766474.9822.1,Non-viral
SRR20766474.9832.1,Non-viral
SRR20766474.9837.1,Non-viral
SRR20766474.9838.1,Non-viral
SRR20766474.9839.1,Non-viral
SRR20766474.9840.1,Non-viral
SRR20766474.9842.1,Non-viral
SRR20766474.9846.1,Non-viral
SRR20766474.9847.1,Non-viral
SRR20766474.9848.1,Non-viral
SRR20766474.9851.1,Non-viral
SRR20766474.9855.1,Non-viral
SRR20766474.9858.1,Non-viral
SRR20766474.9862.1,Non-viral
SRR20766474.9865.1,Non-viral
SRR20766474.9867.1,Non-viral
SRR20766474.9869.1,Non-viral
SRR20766474.9871.1,Non-viral
SRR20766474.9876.1,Non-viral
SRR20766474.9877.1,Non-viral
SRR20766474.9878.1,Non-viral
SRR20766474.9879.1,Non-viral
SRR20766474.9880.1,Non-viral
SRR20766474.9883.1,Non-viral
SRR20766474.9885.1,Non-viral
SRR20766474.9886.1,Non-viral
SRR20766474.9887.1,Non-viral
SRR20766474.9888.1,Non-viral
SRR20766474.9890.1,Non-viral
SRR20766474.9892.1,Non-viral
SRR20766474.9893.1,Non-viral
SRR20766474.9896.1,Non-viral
SRR20766474.9900.1,Non-viral
SRR20766474.9902.1,Non-viral
SRR20766474.9903.1,Non-viral
SRR20766474.9907.1,Non-viral
SRR20766474.9908.1,Non-viral
SRR20766474.9909.1,Non-viral
SRR20766474.9912.1,Non-viral
SRR20766474.9915.1,Non-viral
SRR20766474.9916.1,Non-viral
SRR20766474.9918.1,Non-viral
SRR20766474.9924.1,Non-viral
SRR20766474.9927.1,Non-viral
SRR20766474.9928.1,Non-viral
SRR20766474.9932.1,Non-viral
SRR20766474.9933.1,Non-viral
SRR20766474.9938.1,Non-viral
SRR20766474.9940.1,Non-viral
SRR20766474.9942.1,Non-viral
SRR20766474.9946.1,Non-viral
SRR20766474.9948.1,Non-viral
SRR20766474.9951.1,Non-viral
SRR20766474.9952.1,Non-viral
SRR20766474.9953.1,Non-viral
SRR20766474.9954.1,Non-viral
SRR20766474.9955.1,Non-viral
SRR20766474.9956.1,Non-viral
SRR20766474.9959.1,Non-viral
SRR20766474.9961.1,Non-viral
SRR20766474.9962.1,Non-viral
SRR20766474.9963.1,Non-viral
SRR20766474.9965.1,Non-viral
SRR20766474.9969.1,Non-viral
SRR20766474.9974.1,Non-viral
SRR20766474.9976.1,Non-viral
SRR20766474.9982.1,Non-viral
SRR20766474.9983.1,Non-viral
SRR20766474.9985.1,Non-viral
SRR20766474.9989.1,Non-viral
SRR20766474.9990.1,Non-viral
SRR20766474.9992.1,Non-viral
SRR20766474.9997.1,Non-viral
SRR20766474.10013.1,Non-viral
SRR20766474.10014.1,Non-viral
SRR20766474.10022.1,Non-viral
SRR20766474.10023.1,Non-viral
SRR20766474.10031.1,Non-viral
SRR20766474.10033.1,Non-viral
SRR20766474.10034.1,Non-viral
SRR20766474.10036.1,Non-viral
SRR20766474.10044.1,Non-viral
SRR20766474.10047.1,Non-viral
SRR20766474.10049.1,Non-viral
SRR20766474.10051.1,Non-viral
SRR20766474.10053.1,Non-viral
SRR20766474.10063.1,Non-viral
SRR20766474.10068.1,Non-viral
SRR20766474.10069.1,Non-viral
SRR20766474.10071.1,Non-viral
SRR20766474.10075.1,Non-viral
SRR20766474.10081.1,Non-viral
SRR20766474.10082.1,Non-viral
SRR20766474.10083.1,Non-viral
SRR20766474.10084.1,Non-viral
SRR20766474.10086.1,Non-viral
SRR20766474.10090.1,Non-viral
SRR20766474.10092.1,Non-viral
SRR20766474.10093.1,Non-viral
SRR20766474.10094.1,Non-viral
SRR20766474.10097.1,Non-viral
SRR20766474.10102.1,Non-viral
SRR20766474.10103.1,Non-viral
SRR20766474.10110.1,Non-viral
SRR20766474.10112.1,Non-viral
SRR20766474.10113.1,Non-viral
SRR20766474.10114.1,Non-viral
SRR20766474.10115.1,Non-viral
SRR20766474.10117.1,Non-viral
SRR20766474.10121.1,Non-viral
SRR20766474.10126.1,Non-viral
SRR20766474.10127.1,Non-viral
SRR20766474.10129.1,Non-viral
SRR20766474.10130.1,Non-viral
SRR20766474.10132.1,Non-viral
SRR20766474.10133.1,Non-viral
SRR20766474.10138.1,Non-viral
SRR20766474.10148.1,Non-viral
SRR20766474.10154.1,Non-viral
SRR20766474.10157.1,Non-viral
SRR20766474.10158.1,Non-viral
SRR20766474.10161.1,Non-viral
SRR20766474.10168.1,Non-viral
SRR20766474.10169.1,Non-viral
SRR20766474.10170.1,Non-viral
SRR20766474.10173.1,Non-viral
SRR20766474.10175.1,Non-viral
SRR20766474.10176.1,Non-viral
SRR20766474.10180.1,Non-viral
SRR20766474.10181.1,Non-viral
SRR20766474.10184.1,Non-viral
SRR20766474.10186.1,Non-viral
SRR20766474.10196.1,Non-viral
SRR20766474.10198.1,Non-viral
SRR20766474.10205.1,Non-viral
SRR20766474.10211.1,Non-viral
SRR20766474.10216.1,Non-viral
SRR20766474.10218.1,Non-viral
SRR20766474.10221.1,Non-viral
SRR20766474.10222.1,Non-viral
SRR20766474.10223.1,Non-viral
SRR20766474.10224.1,Non-viral
SRR20766474.10225.1,Non-viral
SRR20766474.10226.1,Non-viral
SRR20766474.10232.1,Non-viral
SRR20766474.10235.1,Non-viral
SRR20766474.10240.1,Non-viral
SRR20766474.10242.1,Non-viral
SRR20766474.10243.1,Non-viral
SRR20766474.10247.1,Non-viral
SRR20766474.10251.1,Non-viral
SRR20766474.10252.1,Non-viral
SRR20766474.10253.1,Non-viral
SRR20766474.10254.1,Non-viral
SRR20766474.10257.1,Non-viral
SRR20766474.10258.1,Non-viral
SRR20766474.10260.1,Non-viral
SRR20766474.10262.1,Non-viral
SRR20766474.10263.1,Non-viral
SRR20766474.10264.1,Non-viral
SRR20766474.10271.1,Non-viral
SRR20766474.10275.1,Non-viral
SRR20766474.10276.1,Non-viral
SRR20766474.10278.1,Non-viral
SRR20766474.10281.1,Non-viral
SRR20766474.10282.1,Non-viral
SRR20766474.10296.1,Non-viral
SRR20766474.10299.1,Non-viral
SRR20766474.10300.1,Non-viral
SRR20766474.10301.1,Non-viral
SRR20766474.10307.1,Non-viral
SRR20766474.10311.1,Non-viral
SRR20766474.10314.1,Non-viral
SRR20766474.10316.1,Non-viral
SRR20766474.10323.1,Non-viral
SRR20766474.10328.1,Non-viral
SRR20766474.10333.1,Non-viral
SRR20766474.10336.1,Non-viral
SRR20766474.10338.1,Non-viral
SRR20766474.10340.1,Non-viral
SRR20766474.10341.1,Non-viral
SRR20766474.10342.1,Non-viral
SRR20766474.10346.1,Non-viral
SRR20766474.10348.1,Non-viral
SRR20766474.10350.1,Non-viral
SRR20766474.10351.1,Non-viral
SRR20766474.10356.1,Non-viral
SRR20766474.10357.1,Non-viral
SRR20766474.10358.1,Non-viral
SRR20766474.10361.1,Non-viral
SRR20766474.10366.1,Non-viral
SRR20766474.10371.1,Non-viral
SRR20766474.10373.1,Non-viral
SRR20766474.10375.1,Non-viral
SRR20766474.10382.1,Non-viral
SRR20766474.10387.1,Non-viral
SRR20766474.10388.1,Non-viral
SRR20766474.10390.1,Non-viral
SRR20766474.10391.1,Non-viral
SRR20766474.10394.1,Non-viral
SRR20766474.10395.1,Non-viral
SRR20766474.10396.1,Non-viral
SRR20766474.10401.1,Non-viral
SRR20766474.10405.1,Non-viral
SRR20766474.10413.1,Non-viral
SRR20766474.10420.1,Non-viral
SRR20766474.10423.1,Non-viral
SRR20766474.10429.1,Non-viral
SRR20766474.10433.1,Non-viral
SRR20766474.10435.1,Non-viral
SRR20766474.10436.1,Non-viral
SRR20766474.10440.1,Non-viral
SRR20766474.10441.1,Non-viral
SRR20766474.10443.1,Non-viral
SRR20766474.10444.1,Non-viral
SRR20766474.10447.1,Non-viral
SRR20766474.10452.1,Non-viral
SRR20766474.10453.1,Non-viral
SRR20766474.10455.1,Non-viral
SRR20766474.10456.1,Non-viral
SRR20766474.10467.1,Non-viral
SRR20766474.10468.1,Non-viral
SRR20766474.10469.1,Non-viral
SRR20766474.10479.1,Non-viral
SRR20766474.10483.1,Non-viral
SRR20766474.10486.1,Non-viral
SRR20766474.10488.1,Non-viral
SRR20766474.10489.1,Non-viral
SRR20766474.10493.1,Non-viral
SRR20766474.10495.1,Non-viral
SRR20766474.10497.1,Non-viral
SRR20766474.10498.1,Non-viral
SRR20766474.10499.1,Non-viral
SRR20766474.10500.1,Non-viral
SRR20766474.10505.1,Non-viral
SRR20766474.10506.1,Non-viral
SRR20766474.10510.1,Non-viral
SRR20766474.10511.1,Non-viral
SRR20766474.10512.1,Non-viral
SRR20766474.10515.1,Non-viral
SRR20766474.10523.1,Non-viral
SRR20766474.10525.1,Non-viral
SRR20766474.10531.1,Non-viral
SRR20766474.10532.1,Non-viral
SRR20766474.10542.1,Non-viral
SRR20766474.10544.1,Non-viral
SRR20766474.10545.1,Non-viral
SRR20766474.10554.1,Non-viral
SRR20766474.10557.1,Non-viral
SRR20766474.10558.1,Non-viral
SRR20766474.10559.1,Non-viral
SRR20766474.10560.1,Non-viral
SRR20766474.10564.1,Non-viral
SRR20766474.10567.1,Non-viral
SRR20766474.10571.1,Non-viral
SRR20766474.10576.1,Non-viral
SRR20766474.10578.1,Non-viral
SRR20766474.10580.1,Non-viral
SRR20766474.10581.1,Non-viral
SRR20766474.10583.1,Non-viral
SRR20766474.10592.1,Non-viral
SRR20766474.10593.1,Non-viral
SRR20766474.10596.1,Non-viral
SRR20766474.10597.1,Non-viral
SRR20766474.10598.1,Non-viral
SRR20766474.10599.1,Non-viral
SRR20766474.10600.1,Non-viral
SRR20766474.10601.1,Non-viral
SRR20766474.10611.1,Non-viral
SRR20766474.10615.1,Non-viral
SRR20766474.10618.1,Non-viral
SRR20766474.10622.1,Non-viral
SRR20766474.10624.1,Non-viral
SRR20766474.10626.1,Non-viral
SRR20766474.10627.1,Non-viral
SRR20766474.10632.1,Non-viral
SRR20766474.10635.1,Non-viral
SRR20766474.10639.1,Non-viral
SRR20766474.10643.1,Non-viral
SRR20766474.10645.1,Non-viral
SRR20766474.10649.1,Non-viral
SRR20766474.10650.1,Non-viral
SRR20766474.10660.1,Non-viral
SRR20766474.10666.1,Non-viral
SRR20766474.10667.1,Non-viral
SRR20766474.10669.1,Non-viral
SRR20766474.10672.1,Non-viral
SRR20766474.10675.1,Non-viral
SRR20766474.10676.1,Non-viral
SRR20766474.10678.1,Non-viral
SRR20766474.10686.1,Non-viral
SRR20766474.10688.1,Non-viral
SRR20766474.10689.1,Non-viral
SRR20766474.10690.1,Non-viral
SRR20766474.10693.1,Non-viral
SRR20766474.10697.1,Non-viral
SRR20766474.10700.1,Non-viral
SRR20766474.10701.1,Non-viral
SRR20766474.10702.1,Non-viral
SRR20766474.10704.1,Non-viral
SRR20766474.10705.1,Non-viral
SRR20766474.10711.1,Non-viral
SRR20766474.10717.1,Non-viral
SRR20766474.10719.1,Non-viral
SRR20766474.10720.1,Non-viral
SRR20766474.10721.1,Non-viral
SRR20766474.10722.1,Non-viral
SRR20766474.10724.1,Non-viral
SRR20766474.10725.1,Non-viral
SRR20766474.10734.1,Non-viral
SRR20766474.10735.1,Non-viral
SRR20766474.10739.1,Non-viral
SRR20766474.10743.1,Non-viral
SRR20766474.10746.1,Non-viral
SRR20766474.10749.1,Non-viral
SRR20766474.10757.1,Non-viral
SRR20766474.10758.1,Non-viral
SRR20766474.10761.1,Non-viral
SRR20766474.10762.1,Non-viral
SRR20766474.10765.1,Non-viral
SRR20766474.10766.1,Non-viral
SRR20766474.10770.1,Non-viral
SRR20766474.10780.1,Non-viral
SRR20766474.10784.1,Non-viral
SRR20766474.10786.1,Non-viral
SRR20766474.10787.1,Non-viral
SRR20766474.10794.1,Non-viral
SRR20766474.10795.1,Non-viral
SRR20766474.10799.1,Non-viral
SRR20766474.10801.1,Non-viral
SRR20766474.10805.1,Non-viral
SRR20766474.10809.1,Non-viral
SRR20766474.10816.1,Non-viral
SRR20766474.10821.1,Non-viral
SRR20766474.10822.1,Non-viral
SRR20766474.10825.1,Non-viral
SRR20766474.10827.1,Non-viral
SRR20766474.10828.1,Non-viral
SRR20766474.10830.1,Non-viral
SRR20766474.10839.1,Non-viral
SRR20766474.10845.1,Non-viral
SRR20766474.10846.1,Non-viral
SRR20766474.10849.1,Non-viral
SRR20766474.10854.1,Non-viral
SRR20766474.10857.1,Non-viral
SRR20766474.10860.1,Non-viral
SRR20766474.10861.1,Non-viral
SRR20766474.10862.1,Non-viral
SRR20766474.10866.1,Non-viral
SRR20766474.10867.1,Non-viral
SRR20766474.10871.1,Non-viral
SRR20766474.10878.1,Non-viral
SRR20766474.10885.1,Non-viral
SRR20766474.10889.1,Non-viral
SRR20766474.10894.1,Non-viral
SRR20766474.10898.1,Non-viral
SRR20766474.10902.1,Non-viral
SRR20766474.10903.1,Non-viral
SRR20766474.10912.1,Non-viral
SRR20766474.10914.1,Non-viral
SRR20766474.10916.1,Non-viral
SRR20766474.10918.1,Non-viral
SRR20766474.10921.1,Non-viral
SRR20766474.10924.1,Non-viral
SRR20766474.10930.1,Non-viral
SRR20766474.10931.1,Non-viral
SRR20766474.10939.1,Non-viral
SRR20766474.10940.1,Non-viral
SRR20766474.10941.1,Non-viral
SRR20766474.10942.1,Non-viral
SRR20766474.10944.1,Non-viral
SRR20766474.10947.1,Non-viral
SRR20766474.10950.1,Non-viral
SRR20766474.10954.1,Non-viral
SRR20766474.10958.1,Non-viral
SRR20766474.10960.1,Non-viral
SRR20766474.10961.1,Non-viral
SRR20766474.10964.1,Non-viral
SRR20766474.10966.1,Non-viral
SRR20766474.10969.1,Non-viral
SRR20766474.10970.1,Non-viral
SRR20766474.10973.1,Non-viral
SRR20766474.10974.1,Non-viral
SRR20766474.10976.1,Non-viral
SRR20766474.10978.1,Non-viral
SRR20766474.10982.1,Non-viral
SRR20766474.10983.1,Non-viral
SRR20766474.10984.1,Non-viral
SRR20766474.10985.1,Non-viral
SRR20766474.10988.1,Non-viral
SRR20766474.10991.1,Non-viral
SRR20766474.10994.1,Non-viral
SRR20766474.10999.1,Non-viral
SRR20766474.11000.1,Non-viral
SRR20766474.11001.1,Non-viral
SRR20766474.11004.1,Non-viral
SRR20766474.11005.1,Non-viral
SRR20766474.11006.1,Non-viral
SRR20766474.11007.1,Non-viral
SRR20766474.11010.1,Non-viral
SRR20766474.11012.1,Non-viral
SRR20766474.11015.1,Non-viral
SRR20766474.11016.1,Non-viral
SRR20766474.11017.1,Non-viral
SRR20766474.11019.1,Non-viral
SRR20766474.11020.1,Non-viral
SRR20766474.11027.1,Non-viral
SRR20766474.11029.1,Non-viral
SRR20766474.11032.1,Non-viral
SRR20766474.11033.1,Non-viral
SRR20766474.11037.1,Non-viral
SRR20766474.11038.1,Non-viral
SRR20766474.11039.1,Non-viral
SRR20766474.11041.1,Non-viral
SRR20766474.11042.1,Non-viral
SRR20766474.11045.1,Non-viral
SRR20766474.11046.1,Non-viral
SRR20766474.11049.1,Non-viral
SRR20766474.11055.1,Non-viral
SRR20766474.11056.1,Non-viral
SRR20766474.11057.1,Non-viral
SRR20766474.11062.1,Non-viral
SRR20766474.11065.1,Non-viral
SRR20766474.11069.1,Non-viral
